pl_name,st_rad,pl_rade,pl_orbsmax
"WASP-15 b",1.477000,16.01000000,0.0499000000
"WASP-18 b",1.230000,13.05848500,0.0204700000
"WASP-12 b",1.570000,20.10000000,0.0229000000
"K2-18 b",0.394000,2.24000000,0.1491000000
"HAT-P-1 b",1.174000,14.78467100,0.0556100000
"HAT-P-18 b",0.717000,10.61492300,0.0559000000
"WASP-80 b",0.593000,11.05207400,0.0347900000
"Kepler-589 b",0.916000,2.52000000,0.1196000000
"WASP-126 b",1.270000,10.76064000,0.0449000000
"Kepler-10 b",1.065000,1.47000000,0.0168500000
"Kepler-10 c",1.065000,2.35000000,0.2410000000
"Kepler-842 b",0.714000,1.58000000,0.0204000000
"Kepler-1449 b",1.155000,1.72000000,0.1176000000
"Kepler-945 b",1.030000,2.79000000,0.2014000000
"Kepler-237 b",0.725000,1.41000000,0.0500000000
"Kepler-914 b",1.262000,1.45000000,0.0545400000
"Kepler-937 c",1.079000,2.40000000,0.5542000000
"Kepler-200 c",0.944000,1.59000000,0.0900000000
"Kepler-1088 b",1.052000,1.36000000,0.1593000000
"KOI-351 c",1.185000,1.44500000,0.0858200000
"Kepler-1046 b",0.930000,1.39000000,0.1170000000
"Kepler-232 b",0.931000,3.07000000,0.0536000000
"Kepler-387 b",1.124000,1.14400000,0.0665100000
"Kepler-179 c",0.761000,2.26000000,0.0637000000
"Kepler-1325 b",0.830000,2.40000000,0.2010000000
"Kepler-1015 b",1.904000,3.71000000,0.1396000000
"KOI-217 b",0.887000,12.78000000,0.0485000000
"Kepler-1108 b",0.806000,1.39000000,0.0513000000
"Kepler-432 b",4.160000,12.39000000,0.3036000000
"Kepler-186 d",0.523000,1.81000000,0.0900000000
"Kepler-1251 b",0.860000,1.96000000,0.2450000000
"Kepler-1804 b",1.671000,3.14000000,0.1017000000
"Kepler-1462 b",0.819000,2.52000000,0.3094000000
"Kepler-1875 b",0.851000,2.01000000,0.2039000000
"Kepler-159 b",0.500000,1.87000000,0.0738000000
"Kepler-1408 b",1.236000,0.84000000,0.0417000000
"Kepler-987 b",0.973000,3.54000000,0.4445000000
"Kepler-1952 b",1.305000,1.29000000,0.1724000000
"Kepler-274 b",1.008000,1.80000000,0.1002000000
"Kepler-54 d",0.470000,1.30000000,0.1170000000
"TOI-880.02",0.830000,2.19000000,0.0349000000
"Kepler-44 b",0.870000,7.10000000,0.0400000000
"WASP-15 b",1.440000,15.45721100,0.0499000000
"WASP-17 b",1.579000,22.26107400,0.0500000000
"WASP-18 b",1.360000,14.20180300,0.0202000000
"KELT-4 A b",1.603000,19.04409100,0.0431700000
"WASP-18 b",1.228000,13.03606700,0.0204300000
"Kepler-167 e",0.726000,10.15000000,1.8900000000
"Kepler-167 b",0.726000,1.61500000,0.0483000000
"Kepler-167 c",0.726000,1.54800000,0.0684000000
"Kepler-167 d",0.726000,1.19400000,0.1405000000
"HD 209458 b",1.100000,14.24000000,0.0467000000
"GJ 436 b",0.455000,4.10000000,0.0308000000
"WASP-94 A b",1.620000,19.28000000,0.0550000000
"WASP-69 b",0.813000,9.11300000,0.0452500000
"WASP-84 b",0.748000,10.55900000,0.0771000000
"HAT-P-11 b",0.695000,4.44997300,0.0525900000
"HD 80606 b",1.037000,11.24262700,0.4564000000
"GJ 436 b",0.455000,4.17000000,0.0291000000
"WASP-20 b",1.392000,16.38800000,0.0600000000
"WASP-6 b",0.864000,13.78707000,0.0414000000
"WASP-80 b",0.586000,11.19779100,0.0344000000
"HATS-6 b",0.570000,11.18658200,0.0362300000
"KELT-7 b",1.732000,17.18339700,0.0441500000
"GJ 3470 b",0.526000,4.32000000,0.0359600000
"HAT-P-30 b",1.330000,16.46602100,0.0419000000
"WASP-39 b",0.918000,14.93038800,0.0485800000
"HAT-P-13 b",1.756000,16.66778300,0.0438300000
"TRAPPIST-1 b",0.117000,1.11300000,0.0111100000
"TRAPPIST-1 c",0.117000,1.04900000,0.0152200000
"K2-34 b",1.660000,16.14096000,0.0445000000
"TrES-4 b",1.810000,20.60214200,0.0516000000
"K2-34 b",1.526000,15.13215000,0.0441900000
"WASP-121 b",1.458000,20.90478500,0.0254400000
"K2-33 b",1.100000,5.76000000,0.0409000000
"V1298 Tau e",1.345000,8.74000000,0.3080000000
"HAT-P-12 b",0.679000,10.30107100,0.0376700000
"WASP-39 b",0.939000,14.33631100,0.0482800000
"HAT-P-11 b",0.742000,4.68000000,0.0520000000
"Kepler-12 b",1.380000,17.60000000,0.0560000000
"TOI-2147 b",1.390000,10.50000000,0.1720000000
"TOI-6019 b",2.020000,12.30000000,0.1212000000
"NGTS-38 b",1.880000,12.11690814,0.6970000000
"TOI-1272 b",0.800000,4.26000000,0.0410000000
"TOI-1694 b",0.812000,5.27000000,0.0445000000
"GJ 9827 b",0.602000,1.57700000,0.0188000000
"GJ 9827 c",0.602000,1.24100000,0.0392500000
"GJ 9827 d",0.602000,2.02200000,0.0559100000
"HD 189733 b",0.765000,12.54287100,0.0310600000
"WASP-18 b",1.260000,13.34991900,0.0208700000
"WASP-178 b",1.670000,20.28829000,0.0558000000
"HD 15337 b",0.839000,1.69900000,0.0524500000
"HD 15337 c",0.839000,2.52200000,0.1235000000
"V1298 Tau b",1.345000,10.27000000,0.1688000000
"V1298 Tau c",1.345000,5.59000000,0.0825000000
"V1298 Tau d",1.345000,6.41000000,0.1083000000
"Kepler-167 b",0.700000,1.62000000,0.0470000000
"Kepler-167 e",0.700000,9.40000000,0.8540000000
"Kepler-167 c",0.700000,1.54000000,0.0660000000
"Kepler-167 d",0.700000,1.32000000,0.1370000000
"KOI-94 d",1.520000,11.40000000,0.1680000000
"KOI-94 c",1.520000,4.22000000,0.1010000000
"HAT-P-11 b",0.765000,4.84000000,0.0530000000
"Kepler-12 b",1.415000,18.22000000,0.0545000000
"KOI-94 e",1.520000,6.73000000,0.3050000000
"KOI-94 b",1.520000,1.73000000,0.0510000000
"Kepler-51 b",0.940000,7.30000000,0.2520000000
"Kepler-51 d",0.940000,10.00000000,0.5100000000
"Kepler-51 c",0.940000,5.90000000,0.3850000000
"Kepler-167 b",0.808000,1.71000000,0.0482000000
"Kepler-167 e",0.808000,11.11000000,1.8810000000
"Kepler-167 c",0.808000,1.76000000,0.0683000000
"Kepler-167 d",0.808000,1.39000000,0.1402000000
"Kepler-12 b",1.415000,18.22000000,0.0545000000
"HAT-P-11 b",0.765000,4.84000000,0.0530000000
"PH2 b",1.124000,11.24000000,0.8454000000
"Kepler-167 b",0.808000,1.71000000,0.0482000000
"Kepler-167 c",0.808000,1.76000000,0.0683000000
"Kepler-167 d",0.808000,1.39000000,0.1402000000
"Kepler-12 b",1.415000,18.05000000,0.0545000000
"HAT-P-11 b",0.763000,4.82000000,0.0530000000
"PH2 b",0.913000,8.98000000,0.8360000000
"KOI-94 d",1.297000,9.77000000,0.1596000000
"KOI-94 c",1.297000,3.66000000,0.0960000000
"KOI-94 e",1.297000,5.79000000,0.2885000000
"KOI-94 b",1.297000,1.55000000,0.0485000000
"Kepler-51 b",0.972000,7.88000000,0.2528000000
"Kepler-51 d",0.972000,10.74000000,0.5121000000
"Kepler-51 c",0.972000,6.10000000,0.3864000000
"KOI-94 d",1.297000,9.77000000,0.1596000000
"KOI-94 c",1.297000,3.66000000,0.0960000000
"KOI-94 e",1.297000,5.79000000,0.2885000000
"KOI-94 b",1.297000,1.55000000,0.0485000000
"Kepler-51 b",0.972000,7.88000000,0.2528000000
"Kepler-51 d",0.972000,10.74000000,0.5121000000
"Kepler-51 c",0.972000,6.10000000,0.3864000000
"Kepler-167 b",0.808000,1.71000000,0.0482000000
"PH2 b",1.124000,11.24000000,0.8454000000
"HAT-P-11 b",0.765000,4.84000000,0.0530000000
"Kepler-12 b",1.415000,18.22000000,0.0545000000
"Kepler-167 e",0.808000,11.11000000,1.8810000000
"Kepler-167 c",0.808000,1.76000000,0.0683000000
"Kepler-167 d",0.808000,1.39000000,0.1402000000
"PH2 b",1.124000,11.24000000,0.8454000000
"KOI-94 d",1.297000,9.77000000,0.1596000000
"KOI-94 c",1.297000,3.66000000,0.0960000000
"KOI-94 e",1.297000,5.79000000,0.2885000000
"KOI-94 b",1.297000,1.55000000,0.0485000000
"Kepler-51 b",0.972000,7.88000000,0.2528000000
"Kepler-51 d",0.972000,10.74000000,0.5121000000
"Kepler-51 c",0.972000,6.10000000,0.3864000000
"LP 791-18 b",0.171000,1.12000000,0.0096900000
"LP 791-18 c",0.171000,2.31000000,0.0293920000
"TOI-125 b",0.852000,2.75500000,0.0521000000
"TOI-125 c",0.852000,2.79000000,0.0818000000
"WASP-43 b",0.650600,11.27625400,0.0150400000
"WASP-25 b",0.920000,13.67498000,0.0473000000
"WASP-69 b",0.813000,11.84791300,0.0452500000
"WASP-84 b",0.768000,10.93998400,0.0775000000
